"Plot Title: 10432475"
"#";"Date Time, GMT+01:00";"Rain, mm (SEN S/N: 2301096)";"Solar Radiation, W/m² (SEN S/N: 2375827)";"Wind Speed, m/s (SEN S/N: 2385148)";"Gust Speed, m/s (SEN S/N: 2385148)";"Wind Direction, ø (SEN S/N: 2385148)";"Voltage, V (SEN S/N: 2387796, LBL: PAR_Up)";"Voltage, V (SEN S/N: 2387803, LBL: PAR_down)";"Water Content, m³/m³ (SEN S/N: 2391324, LBL: 20cm)";"Water Content, m³/m³ (SEN S/N: 2391331, LBL: 5cm)";"Temp, °C (SEN S/N: 2397072)";"RH, % (SEN S/N: 2397072)";"Batt, V"
1;2014-03-26 12:00:00;;530.6;0.37;3.71;171.3;0.2460;0.0067;0.2207;0.1961;-2.976;90.200;4.321
2;2014-03-26 12:15:00;0.00;471.9;1.30;3.15;186.7;0.2203;0.0067;0.2207;0.1961;-3.271;91.400;4.393
3;2014-03-26 12:30:00;0.00;691.9;0.74;3.34;179.7;0.3156;0.0104;0.2207;0.1961;-2.305;88.300;4.424
4;2014-03-26 12:45:00;0.00;469.4;0.37;3.15;178.3;0.2252;0.0067;0.2207;0.1961;-2.131;88.200;4.430
5;2014-03-26 13:00:00;0.00;565.6;2.23;4.08;182.5;0.2643;0.0079;0.2207;0.1961;-2.160;89.300;4.309
6;2014-03-26 13:15:00;0.00;523.1;2.04;4.08;181.1;0.2435;0.0079;0.2207;0.1961;-1.699;88.800;4.291
7;2014-03-26 13:30:00;0.00;309.4;1.86;4.27;182.5;0.1495;0.0031;0.2207;0.1961;-2.742;91.100;4.363
8;2014-03-26 13:45:00;0.00;821.9;2.41;3.53;181.1;0.3632;0.0128;0.2207;0.1961;-1.699;90.900;4.321
9;2014-03-26 14:00:00;0.00;309.4;1.67;3.34;181.1;0.1495;0.0031;0.2207;0.1961;-2.044;88.000;4.339
10;2014-03-26 14:15:00;0.00;424.4;0.37;2.97;174.1;0.2020;0.0067;0.2207;0.1961;-1.785;86.500;4.418
11;2014-03-26 14:30:00;0.00;420.6;0.56;2.78;172.7;0.1984;0.0055;0.2207;0.1961;-1.100;83.900;4.393
12;2014-03-26 14:45:00;0.00;316.9;0.74;2.97;183.9;0.1508;0.0043;0.2207;0.1961;-1.356;82.300;4.321
13;2014-03-26 15:00:00;0.00;349.4;1.67;2.60;169.9;0.1617;0.0043;0.2207;0.1961;-1.071;80.200;4.369
14;2014-03-26 15:15:00;0.00;861.9;0.74;2.60;175.5;0.3619;0.0116;0.2213;0.1961;3.089;71.200;4.406
15;2014-03-26 15:30:00;0.00;684.4;0.56;1.86;171.3;0.2850;0.0079;0.2213;0.1961;0.439;69.500;4.393
16;2014-03-26 15:45:00;0.00;299.4;1.11;2.60;147.4;0.1373;0.0031;0.2213;0.1961;-0.283;70.100;4.309
17;2014-03-26 16:00:00;0.00;374.4;1.48;2.60;175.5;0.1691;0.0043;0.2213;0.1961;-0.004;68.800;4.357
18;2014-03-26 16:15:00;0.00;218.1;0.00;0.00;196.5;0.0995;0.0018;0.2213;0.1961;0.412;58.700;4.333
19;2014-03-26 16:30:00;0.00;151.9;0.74;3.53;207.8;0.0702;0.0006;0.2219;0.1961;-0.227;56.500;4.321
20;2014-03-26 16:45:00;0.00;133.1;2.41;5.75;1.4;0.0604;0.0006;0.2219;0.1961;-0.451;56.700;4.321
21;2014-03-26 17:00:00;0.00;94.4;3.15;6.12;2.8;0.0433;0.0006;0.2219;0.1961;-0.732;56.500;4.309
22;2014-03-26 17:15:00;0.00;105.6;3.15;6.12;1.4;0.0458;0.0006;0.2219;0.1961;-0.817;57.900;4.309
23;2014-03-26 17:30:00;0.00;93.1;1.86;4.82;355.2;0.0385;0.0006;0.2224;0.1961;-0.704;59.200;4.303
24;2014-03-26 17:45:00;0.00;64.4;2.41;4.64;355.2;0.0250;0.0006;0.2224;0.1961;-0.902;59.100;4.297
25;2014-03-26 18:00:00;0.00;38.1;0.74;2.78;1.4;0.0140;0.0006;0.2230;0.1961;-1.015;58.600;4.285
26;2014-03-26 18:15:00;0.00;23.1;1.48;3.90;1.4;0.0067;0.0006;0.2230;0.1961;-1.299;59.200;4.279
27;2014-03-26 18:30:00;0.00;6.9;1.48;3.53;355.2;0.0006;0.0006;0.2230;0.1961;-1.584;60.800;4.273
28;2014-03-26 18:45:00;0.00;0.6;1.67;3.53;8.4;0.0006;0.0006;0.2230;0.1961;-2.102;71.000;4.273
29;2014-03-26 19:00:00;0.00;0.6;0.37;2.97;195.1;0.0006;0.0006;0.2236;0.1961;-2.450;75.900;4.267
30;2014-03-26 19:15:00;0.00;0.6;0.93;2.41;193.7;0.0006;0.0006;0.2236;0.1961;-2.771;78.700;4.267
31;2014-03-26 19:30:00;0.00;0.6;0.93;1.86;221.8;0.0006;0.0006;0.2236;0.1961;-2.888;79.100;4.267
32;2014-03-26 19:45:00;0.00;0.6;0.93;2.41;220.4;0.0006;0.0006;0.2241;0.1961;-3.065;80.800;4.267
33;2014-03-26 20:00:00;0.00;0.6;0.00;0.00;227.4;0.0006;0.0006;0.2241;0.1961;-3.508;81.200;4.267
34;2014-03-26 20:15:00;0.00;0.6;0.19;1.86;221.8;0.0006;0.0006;0.2241;0.1961;-3.747;84.300;4.267
35;2014-03-26 20:30:00;0.00;0.6;0.37;2.04;214.8;0.0006;0.0006;0.2247;0.1961;-3.926;83.700;4.267
36;2014-03-26 20:45:00;0.00;0.6;0.00;0.74;227.4;0.0006;0.0006;0.2241;0.1961;-4.137;84.500;4.267
37;2014-03-26 21:00:00;0.00;0.6;0.74;1.86;231.6;0.0006;0.0006;0.2247;0.1961;-4.046;83.900;4.261
38;2014-03-26 21:15:00;0.00;0.6;0.00;0.00;241.5;0.0006;0.0006;0.2247;0.1961;-4.318;83.000;4.261
39;2014-03-26 21:30:00;0.00;0.6;0.00;0.00;241.5;0.0006;0.0006;0.2247;0.1961;-4.469;85.200;4.261
40;2014-03-26 21:45:00;0.00;0.6;0.00;0.00;242.9;0.0006;0.0006;0.2247;0.1961;-4.682;86.100;4.261
41;2014-03-26 22:00:00;0.00;0.6;0.00;0.37;223.2;0.0006;0.0006;0.2253;0.1961;-4.590;87.700;4.255
42;2014-03-26 22:15:00;0.00;0.6;0.00;0.00;202.2;0.0006;0.0006;0.2253;0.1961;-4.926;86.600;4.261
43;2014-03-26 22:30:00;0.00;0.6;0.00;0.00;203.6;0.0006;0.0006;0.2253;0.1961;-4.957;88.400;4.255
44;2014-03-26 22:45:00;0.00;0.6;0.00;0.00;227.4;0.0006;0.0006;0.2253;0.1961;-4.865;89.400;4.255
45;2014-03-26 23:00:00;0.00;0.6;0.00;0.00;233.1;0.0006;0.0006;0.2253;0.1961;-4.712;87.200;4.255
46;2014-03-26 23:15:00;0.00;0.6;0.00;0.00;231.6;0.0006;0.0006;0.2253;0.1961;-4.743;89.300;4.255
47;2014-03-26 23:30:00;0.00;0.6;0.00;0.00;205.0;0.0006;0.0006;0.2253;0.1961;-4.865;90.200;4.255
48;2014-03-26 23:45:00;0.00;0.6;0.00;0.00;200.8;0.0006;0.0006;0.2253;0.1961;-4.712;89.400;4.255
49;2014-03-27 00:00:00;0.00;0.6;0.00;0.00;200.8;0.0006;0.0006;0.2253;0.1961;-5.018;90.300;4.255
50;2014-03-27 00:15:00;0.00;0.6;0.00;0.00;209.2;0.0006;0.0006;0.2253;0.1961;-4.895;90.200;4.255
51;2014-03-27 00:30:00;0.00;0.6;0.00;0.00;226.0;0.0006;0.0006;0.2253;0.1961;-5.110;90.200;4.255
52;2014-03-27 00:45:00;0.00;0.6;0.00;0.00;226.0;0.0006;0.0006;0.2253;0.1961;-5.542;90.000;4.255
53;2014-03-27 01:00:00;0.00;0.6;0.37;2.78;249.9;0.0006;0.0006;0.2253;0.1961;-5.018;90.400;4.249
54;2014-03-27 01:15:00;0.00;0.6;0.00;1.67;226.0;0.0006;0.0006;0.2253;0.1961;-4.926;90.300;4.249
55;2014-03-27 01:30:00;0.00;0.6;0.74;2.04;268.1;0.0006;0.0006;0.2253;0.1961;-5.079;89.700;4.249
56;2014-03-27 01:45:00;0.00;0.6;0.00;1.67;317.3;0.0006;0.0006;0.2253;0.1961;-5.110;90.000;4.249
57;2014-03-27 02:00:00;0.00;0.6;0.74;1.86;5.6;0.0006;0.0006;0.2253;0.1961;-4.926;87.100;4.249
58;2014-03-27 02:15:00;0.00;0.6;0.00;0.00;338.3;0.0006;0.0006;0.2253;0.1961;-5.018;85.700;4.249
59;2014-03-27 02:30:00;0.00;0.6;0.00;0.00;328.5;0.0006;0.0006;0.2253;0.1961;-5.049;86.200;4.249
60;2014-03-27 02:45:00;0.00;0.6;1.30;2.60;352.4;0.0006;0.0006;0.2253;0.1961;-5.326;84.900;4.249
61;2014-03-27 03:00:00;0.00;0.6;0.74;2.97;352.4;0.0006;0.0006;0.2253;0.1961;-5.295;85.000;4.249
62;2014-03-27 03:15:00;0.00;0.6;0.93;2.04;355.2;0.0006;0.0006;0.2253;0.1961;-5.326;85.100;4.249
63;2014-03-27 03:30:00;0.00;0.6;1.30;2.23;216.2;0.0006;0.0006;0.2253;0.1961;-5.449;89.300;4.267
