"Plot Title: Test Launch"
"#";"Date Time, GMT+01:00";"Rain, mm (SEN S/N: 2301096)";"Solar Radiation, W/m² (SEN S/N: 2375827)";"Wind Speed, m/s (SEN S/N: 2385148)";"Gust Speed, m/s (SEN S/N: 2385148)";"Wind Direction, ø (SEN S/N: 2385148)";"Voltage, V (SEN S/N: 2387796)";"Voltage, V (SEN S/N: 2387803)";"Water Content, m³/m³ (SEN S/N: 2391324, LBL: M1_water_content_5cm)";"Water Content, m³/m³ (SEN S/N: 2391331, LBL: M1_water_content_20cm)";"Temp, °C (SEN S/N: 2397072)";"RH, % (SEN S/N: 2397072)"
1;2012-10-11 14:15:01;;76.9;0.37;2.78;190.9;0.0287;0.0189;0.2904;0.1984;6.535;96.400
2;2012-10-11 14:30:01;0.00;108.1;0.00;1.86;200.8;0.0433;0.0287;0.2904;0.1984;6.687;96.600
3;2012-10-11 14:45:01;0.00;118.1;0.00;0.19;193.7;0.0458;0.0299;0.2904;0.1984;6.611;96.500
4;2012-10-11 15:00:01;0.00;63.1;0.19;3.15;193.7;0.0250;0.0153;0.2904;0.1984;6.433;96.900
5;2012-10-11 15:15:01;0.00;61.9;0.74;3.15;192.3;0.0226;0.0140;0.2904;0.1984;6.230;97.000
6;2012-10-11 15:30:01;0.00;44.4;0.00;2.97;195.1;0.0165;0.0092;0.2898;0.1984;6.255;97.100
7;2012-10-11 15:45:01;0.00;56.9;0.00;0.19;193.7;0.0214;0.0128;0.2898;0.1984;6.153;97.000
8;2012-10-11 16:00:01;0.00;48.1;0.00;0.00;176.9;0.0189;0.0116;0.2898;0.1984;6.306;97.100
9;2012-10-11 16:15:01;0.00;35.6;0.56;3.15;183.9;0.0116;0.0067;0.2898;0.1984;6.179;97.000
10;2012-10-11 16:30:01;0.00;21.9;0.74;3.15;195.1;0.0055;0.0031;0.2898;0.1990;5.924;97.200
11;2012-10-11 16:45:01;0.00;21.9;0.19;2.23;199.4;0.0055;0.0018;0.2893;0.1990;5.821;97.400
12;2012-10-11 17:00:01;0.00;9.4;0.00;0.00;192.3;0.0006;0.0006;0.2893;0.1990;5.745;97.500
13;2012-10-11 17:15:01;0.00;3.1;0.00;0.00;188.1;0.0006;0.0006;0.2893;0.1990;5.745;97.500
14;2012-10-11 17:30:01;0.00;1.9;0.00;0.00;192.3;0.0006;0.0006;0.2887;0.1990;5.770;97.600
15;2012-10-11 17:45:01;0.00;0.6;0.00;0.00;192.3;0.0006;0.0006;0.2887;0.1990;5.668;97.500
16;2012-10-11 18:00:01;0.00;0.6;0.00;0.00;195.1;0.0006;0.0006;0.2887;0.1990;5.591;97.600
17;2012-10-11 18:15:01;0.00;0.6;0.00;0.00;207.8;0.0006;0.0006;0.2887;0.1990;5.514;97.600
18;2012-10-11 18:30:01;0.00;0.6;0.00;0.00;199.4;0.0006;0.0006;0.2887;0.1990;5.462;97.700
19;2012-10-11 18:45:01;0.00;0.6;0.00;0.00;199.4;0.0006;0.0006;0.2881;0.1990;5.462;97.700
20;2012-10-11 19:00:01;0.00;0.6;0.00;0.00;199.4;0.0006;0.0006;0.2881;0.1990;5.514;97.700
21;2012-10-11 19:15:01;0.00;0.6;0.00;0.00;198.0;0.0006;0.0006;0.2881;0.1990;5.360;97.800
22;2012-10-11 19:30:01;0.00;0.6;0.00;0.00;220.4;0.0006;0.0006;0.2881;0.1990;5.334;97.800
23;2012-10-11 19:45:01;0.00;0.6;0.00;0.00;209.2;0.0006;0.0006;0.2876;0.1990;5.360;97.900
24;2012-10-11 20:00:01;0.00;0.6;0.00;0.19;165.7;0.0006;0.0006;0.2876;0.1990;5.231;97.900
25;2012-10-11 20:15:01;0.00;0.6;0.00;1.11;209.2;0.0006;0.0006;0.2876;0.1990;5.154;97.900
26;2012-10-11 20:30:01;0.00;0.6;0.00;0.00;216.2;0.0006;0.0006;0.2876;0.1990;5.154;97.900
27;2012-10-11 20:45:01;0.00;0.6;0.00;0.00;213.4;0.0006;0.0006;0.2876;0.1990;5.282;98.000
28;2012-10-11 21:00:01;0.00;0.6;0.00;0.00;213.4;0.0006;0.0006;0.2870;0.1990;5.231;98.000
29;2012-10-11 21:15:01;0.00;0.6;0.00;0.00;212.0;0.0006;0.0006;0.2870;0.1996;5.257;98.100
30;2012-10-11 21:30:01;0.00;0.6;0.00;0.00;209.2;0.0006;0.0006;0.2870;0.1996;5.231;98.100
31;2012-10-11 21:45:01;0.00;0.6;0.00;0.00;209.2;0.0006;0.0006;0.2870;0.1996;5.179;98.100
32;2012-10-11 22:00:01;0.00;0.6;0.00;0.00;190.9;0.0006;0.0006;0.2864;0.1990;5.128;98.000
33;2012-10-11 22:15:01;0.00;0.6;0.00;0.00;195.1;0.0006;0.0006;0.2864;0.1996;5.024;98.100
34;2012-10-11 22:30:01;0.00;0.6;0.00;0.00;210.6;0.0006;0.0006;0.2864;0.1996;5.050;98.200
35;2012-10-11 22:45:01;0.00;0.6;0.00;0.00;198.0;0.0006;0.0006;0.2864;0.1996;4.973;98.100
36;2012-10-11 23:00:01;0.00;0.6;0.00;0.00;192.3;0.0006;0.0006;0.2864;0.1996;5.050;98.100
37;2012-10-11 23:15:01;0.00;0.6;0.00;0.00;256.9;0.0006;0.0006;0.2858;0.1996;4.999;98.200
38;2012-10-11 23:30:01;0.00;0.6;0.00;0.00;87.0;0.0006;0.0006;0.2858;0.1996;5.076;98.200
39;2012-10-11 23:45:01;0.00;0.6;0.00;0.00;88.4;0.0006;0.0006;0.2858;0.1990;5.024;98.200
40;2012-10-12 00:00:01;0.00;0.6;0.00;0.00;88.4;0.0006;0.0006;0.2858;0.1996;4.973;98.200
41;2012-10-12 00:15:01;0.00;0.6;0.00;0.00;88.4;0.0006;0.0006;0.2858;0.1996;5.076;98.300
